id,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
95306,佛得角,1301,0,629,15,0,0.0,34.0,,0.0,0.0,,,
95786,萨尔瓦多,7267,0,4268,202,0,0.0,267.0,,153.0,11.0,,,
95303,圭亚那,159,0,99,12,0,,,0.0,,,0.0,,
95787,尼加拉瓜,2519,0,1238,83,0,0.0,0.0,,0.0,0.0,,,
95783,冈比亚,28,0,24,1,0,,,0.0,,,0.0,,
9523416782,东帝汶,24,0,24,0,0,,,,,,,,
950777,巴基斯坦,221896,0,113623,4551,0,0.0,4087.0,,8929.0,78.0,,,
9577890,埃及,71299,0,19288,3120,0,0.0,1485.0,,407.0,86.0,,,
9577665,科威特,48672,0,39276,360,0,0.0,813.0,,886.0,1.0,,,
95903,斯洛伐克,1720,0,1466,28,0,0.0,20.0,,0.0,0.0,,,
95904,直布罗陀,176,0,173,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
959333,摩纳哥,99,0,93,4,0,,,,,,,,
9509765,巴拉圭,2303,0,1108,19,0,0.0,43.0,,6.0,0.0,,,
856671,荷属安的列斯,22,0,15,1,0,,,,,,,,
95711,多米尼克,18,0,16,0,0,,,,,,,,
95703,乌兹别克斯坦,9326,0,6161,28,0,0.0,330.0,,314.0,1.0,,,
95293,黑山,616,0,315,12,0,0.0,40.0,,0.0,0.0,,,
95294,危地马拉,20072,0,3279,843,0,0.0,1061.0,,48.0,26.0,,,
95290,加蓬,5513,0,2508,42,0,0.0,119.0,,0.0,0.0,,,
95291,苏丹,9663,0,4624,604,0,0.0,90.0,,18.0,2.0,,,
87435,利比亚,891,0,224,26,0,0.0,17.0,,1.0,1.0,,,
95287,圣马丁岛,77,0,61,15,0,,,,,,,,
95046,土耳其,202284,0,176965,5167,0,0.0,1186.0,,1543.0,17.0,,,
95047,巴布亚新几内亚,8,0,8,0,0,,,,,,,,
95000011,多米尼加,34197,0,18141,765,0,0.0,810.0,,237.0,11.0,,,
95076,约旦,1136,0,889,9,0,0.0,3.0,,3.0,0.0,,,
9532556,亚美尼亚,27320,0,15484,469,0,0.0,662.0,,448.0,10.0,,,
811192,圣基茨和尼维斯,15,0,15,0,0,,,,,,,,
89665,瓜德罗普,171,0,157,14,0,,,0.0,,,0.0,,
94367,安提瓜和巴布达,69,0,23,3,0,0.0,0.0,,0.0,0.0,,,
95215,玻利维亚,35528,0,10358,1271,0,0.0,1301.0,,594.0,70.0,,,
95693,哥伦比亚,102261,0,43481,3650,0,0.0,4171.0,,1338.0,162.0,,,
879903,圣文森特和格林纳丁斯,27,0,25,0,0,,,,,,,,
84326,圣卢西亚,19,0,18,0,0,,,,,,,,
10,法国,203640,0,76927,29878,0,0.0,1577.0,,0.0,0.0,,,
11,阿联酋,49469,0,38664,317,0,0.0,400.0,,504.0,1.0,,,
12,加拿大,106643,0,69872,8700,0,0.0,355.0,,475.0,22.0,,,
13,印度,625544,0,379892,18213,0,0.0,20903.0,,20032.0,379.0,,,
14,英国,314992,0,1372,43991,0,0.0,576.0,,0.0,0.0,,,
15,意大利,240961,0,191083,34818,0,0.0,201.0,,366.0,30.0,,,
16,俄罗斯,666941,0,437155,9844,0,0.0,6710.0,,8879.0,176.0,,,
17,菲律宾,40336,0,11073,1280,0,0.0,1531.0,,400.0,6.0,,,
18,芬兰,7242,0,6700,329,0,0.0,1.0,,0.0,1.0,,,
19,尼泊尔,15259,0,6143,32,0,0.0,740.0,,823.0,1.0,,,
95682,葡萄牙,42782,0,28097,1587,0,0.0,328.0,,0.0,0.0,,,
95200,也门,1221,0,513,325,0,0.0,31.0,,9.0,7.0,,,
954356,塞舌尔,11,0,11,0,0,,,,,,,,
20,西班牙,297183,0,196958,28368,0,0.0,444.0,,0.0,5.0,,,
21,斯里兰卡,2066,0,1863,11,0,0.0,7.0,,36.0,0.0,,,
9509,阿尔及利亚,14657,0,10342,928,0,0.0,385.0,,302.0,8.0,,,
22,柬埔寨,141,0,131,0,0,0.0,0.0,,0.0,0.0,,,
95239,海地,6101,0,1141,110,0,0.0,61.0,,109.0,3.0,,,
23,瑞典,71419,0,4971,5420,0,0.0,780.0,,0.0,9.0,,,
95237,特里尼达和多巴哥,123,0,109,8,0,,,0.0,,,0.0,,
95jibuti,吉布提,4736,0,4580,55,0,0.0,32.0,,30.0,0.0,,,
9512314,圣多美与普林西比,659,0,176,12,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
953487,布基纳法索,980,0,852,53,0,0.0,13.0,,6.0,0.0,,,
954332,比利时,61727,0,17073,9765,0,0.0,129.0,,29.0,4.0,,,
9534324,伊拉克,56020,0,29600,2262,0,0.0,2312.0,,1688.0,102.0,,,
95000111,马拉维,1402,0,317,16,0,0.0,60.0,,46.0,0.0,,,
95010,冰岛,1850,0,1828,10,0,0.0,3.0,,0.0,0.0,,,
95jnybs,几内亚比绍,1654,0,317,24,0,0.0,0.0,,0.0,0.0,,,
953333666,拉脱维亚,1122,0,997,30,0,0.0,1.0,,9.0,0.0,,,
9512111,不丹,66,0,21,0,0,,,0.0,,,0.0,,
957873,挪威,8902,0,8138,251,0,0.0,15.0,,0.0,0.0,,,
9524546,印度尼西亚,60695,0,27568,3036,0,0.0,1301.0,,901.0,49.0,,,
956789,安哥拉,315,0,97,17,0,0.0,24.0,,0.0,2.0,,,
87656,开曼群岛,187,0,115,1,0,,,,,,,,
95844,埃塞俄比亚,5846,0,2430,103,0,0.0,0.0,,0.0,0.0,,,
95879,梵蒂冈,12,0,12,0,0,,,,,,,,
95632,科特迪瓦,9992,0,4660,68,0,0.0,290.0,,279.0,0.0,,,
95634,卡塔尔,98653,0,88583,121,0,0.0,756.0,,1986.0,3.0,,,
95411,莱索托,4,0,2,0,0,,,,,,,,
950611,格鲁吉亚,943,0,821,15,0,0.0,4.0,,4.0,0.0,,,
96745,墨西哥,238511,0,183757,29189,0,0.0,6741.0,,5231.0,679.0,,,
95891,圣马力诺,698,0,656,42,0,0.0,0.0,,0.0,0.0,,,
95400,哈萨克斯坦,44075,0,14777,188,0,0.0,1501.0,,0.0,0.0,,,
95643,安道尔,855,0,800,52,0,0.0,0.0,,1.0,0.0,,,
95886,牙买加,715,0,560,10,0,0.0,8.0,,5.0,0.0,,,
82333,格恩西岛,252,0,238,13,0,,,,,,,,
95677,罗马尼亚,28166,0,19545,1708,0,0.0,420.0,,182.0,21.0,,,
95436,阿曼,43929,0,26169,193,0,0.0,1374.0,,851.0,5.0,,,
95672,列支敦士登,82,0,55,1,0,,,,,,,,
9547021,马达加斯加,2512,0,1057,26,0,0.0,109.0,,17.0,2.0,,,
